church_rate_total,church_rate_evang,church_rate_blackprot,church_rate_mainlineprot,church_rate_catholic,church_rate_orthodox,church_rate_other,church_rate_mormon,church_rate_muslim,state_abb,population_2010,county_fips,church_rate_baptist
893.41889,652.76889,158.74,46.17,31.76,0,3.98,0,0,"AR",21853,5003,619.6889
509.67,358.54,12.018889,60.898889,56.828889,0,21.39,17.578889,0,"AR",41513,5005,214.59
492.54,327.85,0,67.04,75.708889,0,21.94,19.018889,1.3888889,"AR",221339,5007,175.4389
744.29889,636.39889,0,66.04,26.288889,0,15.58,15.528889,0,"AR",36903,5009,312.9167
817.61,502.68889,196.65,84.458889,33.798889,0,0,0,0,"AR",11508,5011,446.2078
448.02889,371.08889,32.968889,43.96,0,0,0,0,0,"AR",5368,5013,250.3689
395.06889,288.79,0,53.89,34.608889,0,17.78,10.198889,0,"AR",27446,5015,176.2278
532.37,359.31889,84.658889,42.2,44.49,0,1.69,0,0,"AR",11800,5017,373.7278
679.40889,533.12,56.14,75.45,3.48,0,11.22,10.57,0,"AR",22995,5019,489.8078
445.12889,395.13889,0,48.13,1.87,0,0,0,0,"AR",16083,5021,292.6689
500.12,368.88889,0,92.718889,15.588889,0,22.91,22.76,0,"AR",25970,5023,271.0778
491.31,390.37889,38.09,62.84,0,0,0,0,0,"AR",8689,5025,353.4378
529.27889,304.93889,125.53,80.318889,8.96,0,9.5288889,9.49,0,"AR",24552,5027,256.3089
488.26889,307.1,40.99,39.77,84.188889,0,16.218889,16.078889,0,"AR",21273,5029,185.7778
561.92889,458.13889,6.79,56.07,25.608889,0,15.31,6.7688889,3.1888889,"AR",96443,5031,327.8567
503.19889,412.06,0,60.81,20.39,0,9.9388889,9.8488889,0,"AR",61948,5033,265.67
488.31,327.07889,87.738889,55.108889,10.31,0,8.07,7.96,0,"AR",50902,5035,303.4878
678.78889,502.97,72.128889,84.108889,19.588889,0,0,0,0,"AR",17870,5037,415.3378
583.41889,347.94889,150.31889,72.818889,4.44,0,7.8888889,7.8888889,0,"AR",8116,5039,276
655.37,474.55,106.09,65.81,6.2988889,0,2.6088889,0,0,"AR",13008,5041,406.6678
717.7,481.76889,111.78,94.76,13.07,0,16.32,11.83,0,"AR",18509,5043,411
476.31,351.89889,6.57,59.42,44.938889,0,13.48,12.868889,.44,"AR",113237,5045,191.64
418.1,314.43,0,64.328889,39.17,0,.17,0,0,"AR",18125,5047,262.3989
440.75,407.75889,0,32.828889,0,0,.16,0,0,"AR",12245,5049,249.57
531.71,325.48,26.85,111.89,46.868889,4.07,16.55,11.268889,0,"AR",96024,5051,207.3778
479.57889,407.93889,17.198889,50.64,3.81,0,0,0,0,"AR",17853,5053,353.6678
550.7,474.31889,0,61.34,9.74,0,5.2988889,5.2688889,0,"AR",42090,5055,354.3078
508.47,324.64889,100.31,56.478889,17.07,0,9.9488889,9.91,0,"AR",22609,5057,285.0289
482.49,386.83889,45.71,47.14,2.73,0,.05888889,0,0,"AR",32923,5059,343.1544
589.96,400.38889,115.23889,57.578889,10.88,0,5.87,0,0,"AR",13789,5061,216.98
579.55889,470.07889,8.4,81.53,9.55,0,9.99,9.82,0,"AR",36647,5063,335.8778
492.69889,412.75,12.778889,57.24,9.13,0,.8,0,0,"AR",13696,5065,336.8167
563.98,475.57889,29.78,55.84,2.7788889,0,0,0,0,"AR",17997,5067,317.1589
597.87889,348.49,146.37889,75.95,14.48,0,12.588889,7.6788889,3.98,"AR",77435,5069,357.5378
476.98,382.3,0,35.828889,24.198889,0,34.648889,22.44,12.06,"AR",25540,5071,283.0078
440.42,326.36,65.01,48.788889,0,0,.26,0,0,"AR",7645,5073,266.7089
528.39889,463.85,0,59.6,4.88,0,.05888889,0,0,"AR",17415,5075,339.5878
356.76889,251.15,62.548889,37.798889,5.1788889,0,.1,0,0,"AR",10424,5077,152.24
364.01889,266.24,58.09,31.91,7.4288889,0,.35,0,0,"AR",14134,5079,248.2556
595.1,480.22,46.77,55.27,6.53,0,6.2988889,0,0,"AR",13171,5081,333.0789
796.62889,652.79889,16.42,59.718889,67.42,0,.27,0,0,"AR",22353,5083,490.9889
447.75889,359.56,7.91,59.09,2.27,0,18.928889,13.518889,4.5088889,"AR",68356,5085,276.02
373.74,315.44889,0,32.32,9.5388889,0,16.42,16.03,0,"AR",15717,5087,197.2989
381.49,305.82889,0,55.07,20.42,0,.18,0,0,"AR",16653,5089,203.62
604.03889,458.56,46.89,66.238889,32.298889,0,.05,0,0,"AR",43462,5091,392.8678
670.07,534.52889,65.12,44.6,10.758889,0,15.06,8.2588889,6.63,"AR",46480,5093,434.47
695.54889,494.91,102.82889,89.828889,7.98,0,0,0,0,"AR",8149,5095,378.94
438.81,372.3,18.76,37.21,10.538889,0,0,0,0,"AR",9487,5097,292.1778
449.58889,221.84889,163.28,64.468889,0,0,0,0,0,"AR",8997,5099,126.6
269.38889,256.54,0,9.5988889,0,0,3.24,0,0,"AR",8330,5101,177.4378
917.41889,513.44,312.6,80.93,3.83,0,6.62,6.5488889,0,"AR",26120,5103,478.6678
358.44889,318.24,11.49,4.79,23.928889,0,0,0,0,"AR",10445,5105,253.9
507.37889,283.58889,157.83,48.35,9.9288889,0,7.6788889,7.63,0,"AR",21757,5107,304.3978
584.62,490.66,16.3,40.39,22.14,0,15.14,15.14,0,"AR",11291,5109,290.4867
670.46,596.47,8.0088889,51.99,8.5,0,5.49,0,0,"AR",24583,5111,456.2489
537.16889,425.31889,0,58.508889,27.588889,0,25.75,25.51,0,"AR",20662,5113,237.7278
464.36,348.39889,5.91,67.408889,24.73,0,17.91,12.66,4.99,"AR",61754,5115,178.1789
500.51889,372.68889,20.42,87.208889,20.198889,0,0,0,0,"AR",8715,5117,333.1
581.23,336.23,56.368889,101.18889,62.6,1.04,23.808889,10.358889,1.61,"AR",382748,5119,232.2389
588.62,483.56,0,16.03,72.348889,0,16.698889,16.698889,0,"AR",17969,5121,348.0889
519.75,339.58889,132.09889,44.798889,3.2588889,0,0,0,0,"AR",28258,5123,340.6067
405.95889,313.75889,10.088889,62.358889,19.73,0,.02888889,0,0,"AR",107118,5125,239.86
571.25889,483.75,0,22.078889,38.188889,0,27.238889,0,0,"AR",11233,5127,308.9889
456.86,408.79,21.718889,26.358889,0,0,0,0,0,"AR",8195,5129,265.3978
686.89889,460.00889,4.41,98.798889,97.43,.48,25.768889,13.508889,4.9,"AR",125744,5131,296.9478
537.80889,414,11.49,38.928889,70.348889,2.99,.05888889,0,0,"AR",17058,5133,310.5789
670.75889,540.95,0,80.17,27.28,0,22.358889,14.48,0,"AR",17264,5135,385.4278
482.08889,408.18,0,45.828889,11.13,0,16.94,16.62,0,"AR",12394,5137,270.0489
832.73,543.46,190.46889,73.578889,16.108889,0,9.0988889,7.1288889,0,"AR",41639,5139,522.2289
408.04,326.74,0,60.77,20.468889,0,.05888889,0,0,"AR",17295,5141,243.8778
567.54889,335.93889,3.08,80.9,123.76889,1.48,22.37,14.588889,1.52,"AR",203065,5143,229.4478
584.32,506.11,8.39,49.798889,9.72,0,10.3,8.3688889,0,"AR",77076,5145,289.1378
456.88889,336.08889,41.74,67.628889,6.2,0,5.23,0,0,"AR",7260,5147,238.0189
509.52889,352.17,11.31,56.21,81.14,0,8.6988889,8.65,0,"AR",22185,5149,243.1789
337.41,81.718889,13.72,26.608889,153.28,4.4,57.678889,16.51,19.82,"CA",1510271,6001,25.87556
42.548889,42.548889,0,0,0,0,0,0,0,"CA",1175,6003,0
244.34,86.318889,0,20.108889,102.04889,3.94,31.92,31.398889,0,"CA",38091,6005,17.04889
340.81889,103.73889,2.16,28.51,155,1.27,50.14,42.53,5.04,"CA",220000,6007,12.00778
689.53889,81.548889,0,21.328889,549.64889,.99,36.03,35.038889,0,"CA",45578,6009,13.41667
532.19,51.64,0,34.74,428.12,0,17.69,17.37,0,"CA",21419,6011,6.208889
384.73,77.328889,9.91,31.17,217.72889,2.3188889,46.28,20.5,9.5088889,"CA",1049025,6013,25.56778
208.38889,93.738889,0,15.24,55.398889,0,44.008889,42.398889,0,"CA",28610,6015,6.048889
287.29,91.34,0,16.218889,128.68,1.74,49.31,38.828889,6.1288889,"CA",181058,6017,5.89
517.03889,135.41889,4.4688889,18.1,309.87889,8.3488889,40.82,23,3.08,"CA",930450,6019,27.87778
395.62889,94.158889,6.79,47.758889,217.34,0,29.588889,29.16,0,"CA",28122,6021,13.36889
215.11,68.75,0,32.42,73.548889,.48,39.908889,26.42,0,"CA",134623,6023,20.36
386.01889,72.81,3.83,6.5088889,282.05,0,20.82,18.038889,.86,"CA",174528,6025,23.20889
429.89889,80.56,9.5988889,45.56,260.26889,0,33.92,33.478889,0,"CA",18546,6027,6.468889
480.18889,136.63889,4.79,8.88,292.79,.54,36.548889,25.12,5.0188889,"CA",839631,6029,37.16889
554.27889,65.458889,2.0888889,23.44,432.29,0,31,15.438889,7.24,"CA",152982,6031,16.76778
255.18,83.09,0,17.64,106.04,.77,47.63,35.478889,0,"CA",64665,6033,19.77889
233.66889,88.318889,0,9.2588889,97.12,0,38.968889,38.428889,0,"CA",34895,6035,12.41
531.03889,82.968889,11.438889,23.328889,360.83889,6.4688889,45.99,15.338889,7.04,"CA",9818605,6037,20.11667
529.96,99.938889,4.54,18.608889,374.93889,0,31.928889,22.238889,7.3488889,"CA",150865,6039,19.67889
435.04,34.928889,3.0688889,37.468889,305.50889,6.04,48.008889,9.7788889,4.3888889,"CA",252409,6041,19.54889
423.43,112.20889,0,31.67,255.93,0,23.62,21.48,0,"CA",18251,6043,1.64
327.14889,55.92,0,31.078889,171.68889,0,68.458889,26.578889,0,"CA",87841,6045,19.46889
544.78889,104.15,4.25,14.358889,398.77889,.25,23,17.39,4.3388889,"CA",255793,6047,21.22
151.25,36.13,0,15.07,62.56,0,37.478889,35.52,0,"CA",9686,6049,18.57889
960.77889,27.808889,0,4.08,904.94,0,23.94,23.73,0,"CA",14202,6051,7.67
494.06889,56.92,2.89,27.088889,361.51889,1.54,44.108889,14.23,6.07,"CA",415057,6053,12.72889
523.00889,97.62,2.67,21.42,351.45889,.59,49.27,16.19,24.378889,"CA",136484,6055,11.43
314.42,177.46,0,28.3,80.988889,0,27.66,17.038889,0,"CA",98764,6057,19.85
457.62889,114.90889,.81,25.44,264.92,4.45,47.108889,22.178889,8.1988889,"CA",3010232,6059,26.38445
383.75889,166.84889,0,18.3,147.34889,1.1488889,50.118889,43.56,0,"CA",348432,6061,8.67
224.56889,83.318889,0,42.288889,60.78,0,38.188889,37.74,0,"CA",20007,6063,23.03889
444.37,109.75,8.75,13.49,275.27889,1.67,35.428889,23.73,5.2,"CA",2189641,6065,14.83889
370.73,111.09889,8.8688889,23.96,161.91889,4,60.89,31.678889,8.5988889,"CA",1418788,6067,32.91
645.75,48.74,0,12.428889,562.78889,0,21.78,20.828889,0,"CA",55269,6069,9.258889
399.86,119.65889,7.36,12.81,218.81,1.9,39.328889,25.698889,6.0488889,"CA",2035210,6071,29.82778
439.17,97.67,3.5088889,24.23,259.05,2.5288889,52.188889,23.1,7.11,"CA",3095313,6073,15.39778
353.07889,37.688889,16.358889,73.65,150.25,15.73,59.39,7.36,8.2588889,"CA",805235,6075,26.83889
441.06889,99.14,4.74,17.608889,268.04,2,49.538889,22.84,14.56,"CA",685306,6077,23.51
539.5,101.93,4,59.71,330.35,.76,42.758889,23.05,8.23,"CA",269637,6079,12.92778
461.18,34.478889,2.85,33.178889,339.11,7.45,44.118889,18.428889,6.1688889,"CA",718451,6081,9.938889
476.04,58.45,4.67,25.03,346.63889,3.62,37.63,17.078889,2.97,"CA",423895,6083,13.60667
435.56889,83.408889,1.43,25.05,251.09889,4.33,70.25,13.89,10.58,"CA",1781642,6085,11.54889
309.93889,52.74,.91,19.238889,192.46889,4.2088889,40.368889,14.14,4.23,"CA",262382,6087,2.81
270.00889,162.53889,.68,15.97,48.688889,1.08,41.06,38.608889,.2,"CA",177223,6089,6.667778
150.93,61.42,0,19.75,37.648889,0,32.1,31.17,0,"CA",3240,6091,0
286.25889,114.68,3.96,32.158889,91.068889,0,44.39,36.28,0,"CA",44900,6093,39.51
375.73,113.9,6.2088889,21.41,196.34,1.37,36.5,24.948889,8.05,"CA",413344,6095,42.33
351.31,53.358889,.21,23.858889,222.65,2.87,48.358889,18.738889,4.58,"CA",483878,6097,10.45778
393.37,128.24,2.5488889,15.028889,209.02,1.2088889,37.32,26.94,2.16,"CA",514453,6099,21.26
314.37,150.02,0,17.14,96.908889,0,50.298889,33.09,11.71,"CA",94737,6101,10.44889
295.81,64.598889,0,20.17,177.15889,.32,33.56,32.74,0,"CA",63463,6103,11.28
131.15,69.708889,0,12.038889,19.51,0,29.89,27.928889,0,"CA",13786,6105,0
407.37889,120.51,1.71,19.648889,232.41889,1.47,31.62,17.5,3.0688889,"CA",442179,6107,17.24889
449.87,139.56,0,14.38,266.01889,1.07,28.84,25.738889,0,"CA",55365,6109,10.84
448.16,89.078889,2.41,26.73,282.48,2.04,45.42,24.44,4.15,"CA",823318,6111,11.58889
363.27889,61.758889,0,24.358889,215.87,1.74,59.538889,24.088889,22.088889,"CA",200849,6113,19.20889
327.13889,81.818889,3.69,12.348889,168.21889,0,61.06,42.908889,0,"CA",72155,6115,7.678889
293.58889,78.28,.44,16.148889,159.87,0,38.85,25.82,1.3888889,"CO",441603,8001,9.448889
741.01889,141.86,0,44.74,452.95889,0,101.45889,100.15889,0,"CO",15445,8003,61.11889
333.62889,112.23889,1.85,49.42,120.68,3.1088889,46.32,25.358889,18.558889,"CO",572003,8005,23.79
778.13889,144.24,0,27.718889,466.98,0,139.18889,31.608889,0,"CO",12084,8007,45.50889
295.41,151.53,0,90.29,52.798889,0,.79,0,0,"CO",3788,8009,13.19889
322.97,43.85,0,52.008889,226.03,0,1.08,0,0,"CO",6499,8011,10.31
415.07889,97.858889,0,64.93,201.11,2.44,48.75,29.26,1.36,"CO",294567,8013,8.64
304.38889,145.02,0,86.65,71.568889,0,1.1488889,0,0,"CO",55889,8014,20.78889
437.07889,240.88889,0,57.5,113.65,0,25.038889,24.428889,0,"CO",17809,8015,120.3289
522.87889,276.68889,0,93.68,152.50889,0,0,0,0,"CO",1836,8017,5.45
155.25889,12.428889,0,38.84,77.9,0,26.078889,25.53,0,"CO",9088,8019,12.42889
743.82,27.62,0,5.45,425.14889,0,285.61,283.79,0,"CO",8256,8021,0
983.53889,0,0,6.8088889,925.09,0,51.648889,45.688889,0,"CO",3524,8023,0
306.37,64.908889,0,53.578889,187.53,0,.34,0,0,"CO",5823,8025,4.808889
382.83889,165.21889,0,62.038889,127.60889,0,27.968889,27.5,0,"CO",4255,8027,49.59
363.62889,136.91889,0,52.178889,117.28,3.1,54.148889,49.59,0,"CO",30952,8029,27.00889
507.8,87.108889,14.088889,63.35,265.75,9.71,67.78,16.82,4.87,"CO",600158,8031,38.48778
165.21,92.048889,0,27.62,35.368889,0,10.168889,0,0,"CO",2064,8033,76.54889
350.37,178.05,0,46.178889,78.328889,0,47.81,45.928889,0,"CO",285465,8035,7.43
308.07889,42.13,0,31.17,217.88889,0,16.898889,15.67,0,"CO",52197,8037,7.218889
150.18,57.048889,0,16.628889,44.27,0,32.228889,31.968889,0,"CO",23086,8039,13.08
333.77889,153.12,4.32,54.148889,84.06,1.52,36.6,29.89,.48,"CO",622263,8041,32.47667
407.85,136.44889,0,45.6,192.87,0,32.928889,30.628889,0,"CO",46824,8043,39.99889
274.91,90.59,0,30.73,112.93,0,40.658889,36.978889,0,"CO",56389,8045,25.70889
52.38,0,0,28.85,23.16,0,.37,0,0,"CO",5441,8047,0
250.41889,73.908889,0,55.178889,104.01889,0,17.308889,17.05,0,"CO",14843,8049,46.68889
397.74,73.15,0,32.038889,271.26889,0,21.268889,20.1,0,"CO",15324,8051,47.23889
332.14889,97.268889,0,167.25889,67.62,0,0,0,0,"CO",843,8053,97.26889
670.38889,82.848889,0,55.728889,522.72,0,9.0888889,0,0,"CO",6711,8055,47.23778
248.21,98.28,0,88.95,60.978889,0,0,0,0,"CO",1394,8057,33.71889
356.87,128.69889,0,42.5,150.06889,2,33.608889,20.91,1.04,"CO",534543,8059,15.65778
